date,TotalNewCases,SevenDay_Rolling_Average
2/6/2021,114557,114557
2/7/2021,95994,105275
2/8/2021,77737,96096
2/9/2021,92986,95318
2/10/2021,95194,95293
2/11/2021,102417,96480
2/12/2021,101030,97130
2/13/2021,90642,93714
2/14/2021,72164,90310
2/15/2021,55077,87072
2/16/2021,56312,81833
2/17/2021,66839,77783
2/18/2021,66824,72698
2/19/2021,74676,68933
2/20/2021,72354,66320
2/21/2021,58702,64397
2/22/2021,52530,64033
2/23/2021,69105,65861
2/24/2021,73258,66778
2/25/2021,75565,68027
2/26/2021,74857,68053
2/27/2021,71245,67894
2/28/2021,54349,67272
3/1/2021,48092,66638
3/2/2021,54248,64516
3/3/2021,66836,63598
3/4/2021,65487,62159
3/5/2021,68787,61292
3/6/2021,60015,59687
3/7/2021,41835,57900
